Date,Price
Oct 23  2019,0.012684
Oct 22  2019,0.012457
Oct 21  2019,0.012483
Oct 20  2019,0.012291
Oct 19  2019,0.012802
Oct 18  2019,0.013053
Oct 17  2019,0.013187
Oct 16  2019,0.013530
Oct 15  2019,0.016439
Oct 14  2019,0.015996
Oct 13  2019,0.022332
Oct 12  2019,0.028677
Oct 11  2019,0.010244
Oct 10  2019,0.009723
Oct 09  2019,0.009837
Oct 08  2019,0.013567
Oct 07  2019,0.009099
Oct 06  2019,0.008596
Oct 05  2019,0.009203
Oct 04  2019,0.009280
Oct 03  2019,0.009407
Oct 02  2019,0.008906
Oct 01  2019,0.009212
Sep 30  2019,0.009616
Sep 29  2019,0.011110
Sep 28  2019,0.011370
Sep 27  2019,0.010479
Sep 26  2019,0.008653
Sep 25  2019,0.008826
Sep 24  2019,0.009906
Sep 23  2019,0.011298
Sep 22  2019,0.011301
Sep 21  2019,0.011965
Sep 20  2019,0.012083
Sep 19  2019,0.013675
Sep 18  2019,0.015146
Sep 17  2019,0.011410
Sep 16  2019,0.010568
Sep 15  2019,0.010905
Sep 14  2019,0.011035
Sep 13  2019,0.011868
Sep 12  2019,0.010530
Sep 11  2019,0.010310
Sep 10  2019,0.011906
Sep 09  2019,0.010641
Sep 08  2019,0.010739
Sep 07  2019,0.010487
Sep 06  2019,0.010853
Sep 05  2019,0.010682
Sep 04  2019,0.010677
Sep 03  2019,0.011114
Sep 02  2019,0.011250
Sep 01  2019,0.011120
Aug 31  2019,0.010669
Aug 30  2019,0.011225
Aug 29  2019,0.010317
Aug 28  2019,0.011447
Aug 27  2019,0.010813
Aug 26  2019,0.010029
Aug 25  2019,0.018183
Aug 24  2019,0.011205
Aug 23  2019,0.010245
Aug 22  2019,0.010162
Aug 21  2019,0.010599
Aug 20  2019,0.011692
Aug 19  2019,0.011834
Aug 18  2019,0.013178
Aug 17  2019,0.022952
Aug 16  2019,0.012399
Aug 15  2019,0.013702
Aug 14  2019,0.012781
Aug 13  2019,0.016900
Aug 12  2019,0.012114
Aug 11  2019,0.012020
Aug 10  2019,0.012403
Aug 09  2019,0.015217
Aug 08  2019,0.012937
Aug 07  2019,0.012814
Aug 06  2019,0.013400
Aug 05  2019,0.016104
Aug 04  2019,0.014787
Aug 03  2019,0.016068
Aug 02  2019,0.015438
Aug 01  2019,0.015192
Jul 31  2019,0.015770
Jul 30  2019,0.015186
Jul 29  2019,0.015384
Jul 28  2019,0.015661
Jul 27  2019,0.016931
Jul 26  2019,0.019717
Jul 25  2019,0.017072
Jul 24  2019,0.017207
Jul 23  2019,0.033165
Jul 22  2019,0.027914
Jul 21  2019,0.020420
Jul 20  2019,0.020856
Jul 19  2019,0.020682
Jul 18  2019,0.019960
