Date,Price
Oct 23  2019,14.14
Oct 22  2019,14.65
Oct 21  2019,14.94
Oct 20  2019,14.77
Oct 19  2019,14.48
Oct 18  2019,14.66
Oct 17  2019,14.94
Oct 16  2019,15.75
Oct 15  2019,16.17
Oct 14  2019,16.37
Oct 13  2019,16.47
Oct 12  2019,16.47
Oct 11  2019,16.97
Oct 10  2019,17.29
Oct 09  2019,17.61
Oct 08  2019,17.39
Oct 07  2019,17.59
Oct 06  2019,17.30
Oct 05  2019,17.30
Oct 04  2019,17.02
Oct 03  2019,17.37
Oct 02  2019,17.65
Oct 01  2019,17.92
Sep 30  2019,17.72
Sep 29  2019,18.43
Sep 28  2019,18.09
Sep 27  2019,17.57
Sep 26  2019,17.58
Sep 25  2019,18.08
Sep 24  2019,21.03
Sep 23  2019,22.26
Sep 22  2019,22.47
Sep 21  2019,23.28
Sep 20  2019,23.53
Sep 19  2019,23.48
Sep 18  2019,23.19
Sep 17  2019,22.58
Sep 16  2019,22.91
Sep 15  2019,23.33
Sep 14  2019,23.35
Sep 13  2019,23.54
Sep 12  2019,23.41
Sep 11  2019,23.15
Sep 10  2019,24.27
Sep 09  2019,25.09
Sep 08  2019,25.32
Sep 07  2019,24.68
Sep 06  2019,25.23
Sep 05  2019,24.96
Sep 04  2019,25.62
Sep 03  2019,25.91
Sep 02  2019,25.04
Sep 01  2019,24.19
Aug 31  2019,23.19
Aug 30  2019,23.10
Aug 29  2019,23.19
Aug 28  2019,24.50
Aug 27  2019,25.01
Aug 26  2019,25.01
Aug 25  2019,25.17
Aug 24  2019,25.43
Aug 23  2019,26.14
Aug 22  2019,26.46
Aug 21  2019,26.52
Aug 20  2019,26.85
Aug 19  2019,26.62
Aug 18  2019,25.92
Aug 17  2019,25.99
Aug 16  2019,25.65
Aug 15  2019,26.24
Aug 14  2019,26.49
Aug 13  2019,27.52
Aug 12  2019,27.92
Aug 11  2019,28.01
Aug 10  2019,27.84
Aug 09  2019,27.59
Aug 08  2019,30.19
Aug 07  2019,32.50
Aug 06  2019,32.76
Aug 05  2019,31.96
Aug 04  2019,28.50
Aug 03  2019,28.84
Aug 02  2019,28.37
Aug 01  2019,27.85
Jul 31  2019,26.89
Jul 30  2019,25.86
Jul 29  2019,26.18
Jul 28  2019,25.98
Jul 27  2019,28.06
Jul 26  2019,27.04
Jul 25  2019,27.98
Jul 24  2019,28.01
Jul 23  2019,28.91
Jul 22  2019,29.75
Jul 21  2019,30.29
Jul 20  2019,30.28
Jul 19  2019,29.57
Jul 18  2019,29.68
Jul 17  2019,29.17
Jul 16  2019,30.32
Jul 15  2019,30.65
Jul 14  2019,31.38
Jul 13  2019,31.74
Jul 12  2019,32.26
Jul 11  2019,32.67
Jul 10  2019,35.78
Jul 09  2019,33.99
Jul 08  2019,32.63
Jul 07  2019,32.07
Jul 06  2019,31.18
Jul 05  2019,30.78
Jul 04  2019,32.23
Jul 03  2019,31.93
Jul 02  2019,29.66
Jul 01  2019,31.62
Jun 30  2019,35.73
Jun 29  2019,35.35
Jun 28  2019,33.93
Jun 27  2019,37.05
Jun 26  2019,37.54
Jun 25  2019,32.83
Jun 24  2019,34.70
Jun 23  2019,34.58
Jun 22  2019,31.36
Jun 21  2019,29.97
Jun 20  2019,29.36
Jun 19  2019,29.21
Jun 18  2019,29.63
Jun 17  2019,29.61
Jun 16  2019,29.69
Jun 15  2019,27.95
Jun 14  2019,28.29
Jun 13  2019,28.52
Jun 12  2019,28.82
Jun 11  2019,28.31
Jun 10  2019,27.63
Jun 09  2019,27.56
Jun 08  2019,27.54
Jun 07  2019,27.03
Jun 06  2019,26.38
Jun 05  2019,26.63
Jun 04  2019,26.89
Jun 03  2019,29.17
Jun 02  2019,29.32
Jun 01  2019,29.23
May 31  2019,28.44
May 30  2019,31.54
May 29  2019,28.66
May 28  2019,29.33
May 27  2019,29.96
May 26  2019,28.60
May 25  2019,28.55
May 24  2019,28.87
May 23  2019,28.27
May 22  2019,29.76
May 21  2019,30.03
May 20  2019,30.32
May 19  2019,32.04
May 18  2019,29.35
May 17  2019,30.92
May 16  2019,35.00
May 15  2019,33.87
May 14  2019,39.92
May 13  2019,29.32
May 12  2019,29.70
May 11  2019,30.38
May 10  2019,26.22
May 09  2019,26.06
May 08  2019,25.74
May 07  2019,27.00
May 06  2019,26.40
May 05  2019,26.57
May 04  2019,26.84
May 03  2019,26.64
May 02  2019,24.89
May 01  2019,24.34
Apr 30  2019,23.85
Apr 29  2019,24.40
Apr 28  2019,24.45
Apr 27  2019,23.39
Apr 26  2019,23.86
Apr 25  2019,25.31
Apr 24  2019,26.09
Apr 23  2019,26.39
Apr 22  2019,25.79
Apr 21  2019,25.88
Apr 20  2019,25.61
Apr 19  2019,25.58
Apr 18  2019,25.29
Apr 17  2019,24.86
Apr 16  2019,24.69
Apr 15  2019,25.62
Apr 14  2019,25.64
Apr 13  2019,24.60
Apr 12  2019,24.25
Apr 11  2019,25.66
Apr 10  2019,25.87
Apr 09  2019,26.00
Apr 08  2019,26.81
Apr 07  2019,26.05
Apr 06  2019,26.34
Apr 05  2019,25.57
Apr 04  2019,24.27
Apr 03  2019,25.25
Apr 02  2019,23.24
Apr 01  2019,20.52
Mar 31  2019,20.32
Mar 30  2019,20.64
Mar 29  2019,19.78
Mar 28  2019,19.76
Mar 27  2019,19.61
Mar 26  2019,19.33
Mar 25  2019,19.37
Mar 24  2019,18.97
Mar 23  2019,19.19
Mar 22  2019,19.00
Mar 21  2019,19.35
Mar 20  2019,19.35
Mar 19  2019,19.55
Mar 18  2019,19.95
Mar 17  2019,19.83
Mar 16  2019,19.91
Mar 15  2019,19.92
Mar 14  2019,22.32
Mar 13  2019,19.51
Mar 12  2019,23.59
Mar 11  2019,17.11
Mar 10  2019,16.95
Mar 09  2019,16.78
Mar 08  2019,16.59
Mar 07  2019,17.02
Mar 06  2019,16.98
Mar 05  2019,16.97
Mar 04  2019,16.68
Mar 03  2019,17.06
Mar 02  2019,17.03
Mar 01  2019,16.92
Feb 28  2019,16.93
Feb 27  2019,16.96
Feb 26  2019,17.09
Feb 25  2019,16.61
Feb 24  2019,18.38
Feb 23  2019,17.99
Feb 22  2019,17.35
Feb 21  2019,17.41
Feb 20  2019,17.66
Feb 19  2019,18.24
Feb 18  2019,17.97
Feb 17  2019,17.09
Feb 16  2019,16.91
Feb 15  2019,16.83
Feb 14  2019,16.84
Feb 13  2019,17.03
Feb 12  2019,16.90
Feb 11  2019,17.07
Feb 10  2019,17.08
Feb 09  2019,16.74
Feb 08  2019,16.80
Feb 07  2019,15.53
Feb 06  2019,15.95
Feb 05  2019,16.04
Feb 04  2019,16.08
Feb 03  2019,16.16
Feb 02  2019,15.98
Feb 01  2019,16.10
Jan 31  2019,16.44
Jan 30  2019,16.40
Jan 29  2019,16.57
Jan 28  2019,17.12
Jan 27  2019,17.44
Jan 26  2019,17.30
Jan 25  2019,17.62
Jan 24  2019,17.46
Jan 23  2019,17.47
Jan 22  2019,17.53
Jan 21  2019,17.06
Jan 20  2019,17.72
Jan 19  2019,17.79
Jan 18  2019,17.35
Jan 17  2019,17.37
Jan 16  2019,17.02
Jan 15  2019,16.81
Jan 14  2019,16.75
Jan 13  2019,17.51
Jan 12  2019,17.58
Jan 11  2019,17.55
Jan 10  2019,19.33
Jan 09  2019,19.15
Jan 08  2019,19.24
Jan 07  2019,19.71
Jan 06  2019,19.78
Jan 05  2019,18.95
Jan 04  2019,18.60
Jan 03  2019,18.97
Jan 02  2019,18.46
Jan 01  2019,17.57
Dec 31  2018,19.00
Dec 30  2018,19.38
Dec 29  2018,20.76
Dec 28  2018,21.53
Dec 27  2018,18.06
Dec 26  2018,18.36
Dec 25  2018,19.79
Dec 24  2018,21.38
Dec 23  2018,19.52
Dec 22  2018,18.84
Dec 21  2018,19.98
Dec 20  2018,19.90
Dec 19  2018,19.00
Dec 18  2018,18.39
Dec 17  2018,16.25
Dec 16  2018,15.45
Dec 15  2018,15.23
Dec 14  2018,16.52
Dec 13  2018,14.97
Dec 12  2018,15.36
Dec 11  2018,15.64
Dec 10  2018,17.71
Dec 09  2018,18.02
Dec 08  2018,17.57
Dec 07  2018,18.23
Dec 06  2018,19.65
Dec 05  2018,19.88
Dec 04  2018,20.41
Dec 03  2018,20.58
Dec 02  2018,21.45
Dec 01  2018,21.31
Nov 30  2018,21.84
Nov 29  2018,22.32
Nov 28  2018,23.15
Nov 27  2018,20.02
Nov 26  2018,21.94
Nov 25  2018,22.07
Nov 24  2018,23.39
Nov 23  2018,24.35
Nov 22  2018,26.61
Nov 21  2018,26.18
Nov 20  2018,26.84
Nov 19  2018,33.54
Nov 18  2018,33.93
Nov 17  2018,33.18
Nov 16  2018,34.74
Nov 15  2018,35.05
Nov 14  2018,39.29
Nov 13  2018,40.04
Nov 12  2018,40.50
Nov 11  2018,40.56
Nov 10  2018,41.08
Nov 09  2018,40.93
Nov 08  2018,40.94
Nov 07  2018,41.81
Nov 06  2018,41.01
Nov 05  2018,40.57
Nov 04  2018,40.42
Nov 03  2018,42.11
Nov 02  2018,42.20
Nov 01  2018,41.33
Oct 31  2018,40.24
Oct 30  2018,41.24
Oct 29  2018,44.18
Oct 28  2018,47.04
Oct 27  2018,43.89
Oct 26  2018,44.43
Oct 25  2018,47.31
Oct 24  2018,52.84
Oct 23  2018,54.03
Oct 22  2018,39.34
Oct 21  2018,38.92
Oct 20  2018,38.63
Oct 19  2018,39.02
Oct 18  2018,39.74
Oct 17  2018,39.97
Oct 16  2018,41.70
Oct 15  2018,41.49
Oct 14  2018,38.60
Oct 13  2018,38.28
Oct 12  2018,38.40
Oct 11  2018,41.35
Oct 10  2018,41.99
Oct 09  2018,45.87
Oct 08  2018,44.51
Oct 07  2018,41.20
Oct 06  2018,42.19
Oct 05  2018,42.37
Oct 04  2018,41.34
Oct 03  2018,39.05
Oct 02  2018,39.07
Oct 01  2018,39.84
Sep 30  2018,39.90
Sep 29  2018,39.21
Sep 28  2018,39.63
Sep 27  2018,38.97
